Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"Department of the Army - GSA, District of Columbia",NDA,DEPARTMENT OF THE ARMY - GSA,DISTRICT OF COLUMBIA,NCES_District-1100058,405 HOWARD ROAD PLACE NW,Washington,http://www.hu-ms2.org,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,Yes
"Upland Unified School District, California",NDA,UPLAND UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0600016,390 North Euclid Ave.,Upland,http://www.upland.k12.ca.us,UPLAND UNIFIED,Yes
"Southeast Polk Community School District, Iowa",NDA,SOUTHEAST POLK COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1926820,407 8th Street SE,Altoona,http://www.southeastpolk.org,SOUTHEAST POLK COMM SCHOOL DISTRICT,Yes
"Madison Local School District (Mansfield), Ohio",NDA,MADISON LOCAL SCHOOL DISTRICT (MANSFIELD),OHIO,NCES_District-3904612,1324 Middletown Eaton Rd,Middletown,http://www.madisonmohawks.org/,MADISON LOCAL,Yes
"Brazosport Independent School District, Texas",NDA,BRAZOSPORT INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800213,P O BOX 610,CARTHAGE,http://www.paolaschools.net,PANOLA CHARTER SCHOOL,Yes
"Cucamonga School District, California",NDA,CUCAMONGA SCHOOL DISTRICT,CALIFORNIA,NCES_District-0691152,27740 Jefferson Ave.,Temecula,http://www.springscs.org,INLAND EMPIRE SPRINGS CHARTER DISTRICT,Yes
"North East Independent School District, Texas",NDA,NORTH EAST INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800275,11250 S WILCREST,HOUSTON,http://www.stepcharter.org/,STEP CHARTER SCHOOL,Yes
"Dickinson Independent School District, Texas",NDA,DICKINSON INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800248,3732 MYRTLE ST,DALLAS,http://www.stanthonydallas.org,ST ANTHONY SCHOOL,Yes
"Fontana Unified School District, California",NDA,FONTANA UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0613920,PO Box 5090,Fontana,http://www.fusd.net,FONTANA UNIFIED,Yes
"Kansas City Kansas Public Schools USD 500, Kansas",NDA,KANSAS CITY KANSAS PUBLIC SCHOOLS USD 500,KANSAS,NCES_District-2007950,2010 N. 59th Street,Kansas City,http://www.kckps.org,KANSAS CITY,Yes
"Washoe County School District, Nevada",NDA,WASHOE COUNTY SCHOOL DISTRICT,NEVADA,NCES_District-3200480,425 E 9th ST,RENO,http://www.washoeschools.net,WASHOE COUNTY,Yes
"Val Verde Unified School District, California",NDA,VAL VERDE UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0691135,975 West Morgan St.,Perris,http://www.valverde.edu,VAL VERDE UNIFIED,Yes
"Montclair State University, New Jersey",NDA,MONTCLAIR STATE UNIVERSITY,NEW JERSEY,NCES_District-3410560,22 Valley Rd.,Montclair,http://www.montclair.k12.nj.us,MONTCLAIR PUBLIC SCHOOL DISTRICT,Yes
"New York City School District #12, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #12,NEW YORK,NCES_District-3622200,PO BOX 125,VAN HORNESVILLE,http://www.odyoungcsd.org/,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,Yes
"George Washington Middle School, Texas",NDA,GEORGE WASHINGTON MIDDLE SCHOOL,TEXAS,NCES_District-4800221,3380 FANIN ST,BEAUMONT,http://www.ehrhartschool.org,EHRHART SCHOOL,Yes
"Jackson Health System, Florida",NDA,JACKSON HEALTH SYSTEM,FLORIDA,NCES_District-1200960,PO BOX 5958,MARIANNA,http://www.jcsb.org,JACKSON,Yes
"Shaler Area School District, Pennsylvania",NDA,SHALER AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4221200,1800 Mount Royal Blvd,Glenshaw,http://www.sasd.k12.pa.us,SHALER AREA SD,Yes
"Gallup-McKinley County Schools, New Mexico",NDA,GALLUP-MCKINLEY COUNTY SCHOOLS,NEW MEXICO,NCES_District-3501110,PO BOX 1318,GALLUP,http://gmcs.org/,GALLUP,Yes
"Los Rios Community College District, California",NDA,LOS RIOS COMMUNITY COLLEGE DISTRICT,CALIFORNIA,NCES_District-0602064,6840 Via Del Oro,San Jose,http://voicesacademies.org,VOICES COLLEGE-BOUND LANGUAGE ACAD AT MT. PLEASANT DIST,Yes
"Cincinnati City School District, Ohio",NDA,CINCINNATI CITY SCHOOL DISTRICT,OHIO,NCES_District-3904504,936 Eastwind Dr Ste 200,Westerville,http://www.westerville.k12.oh.us/,WESTERVILLE CITY,Yes
"Gadsden Independent School District, New Mexico",NDA,GADSDEN INDEPENDENT SCHOOL DISTRICT,NEW MEXICO,NCES_District-3501080,PO DRAWER 70,ANTHONY,http://www.gisd.k12.nm.us/,GADSDEN,Yes
"Northgate School District, Pennsylvania",NDA,NORTHGATE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280120,948 Ben Franklin Highway,Ebensburg,http://www.ap.tec.pa.us,ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"Twin Falls School District, Idaho",NDA,TWIN FALLS SCHOOL DISTRICT,IDAHO,NCES_District-1603240,201 MAIN AVENUE WEST,TWIN FALLS,,TWIN FALLS DISTRICT,Yes
"City of Woburn, Massachusetts",NDA,CITY OF WOBURN,MASSACHUSETTS,NCES_District-2513200,55 Locust Street,Woburn,http://www.woburnpublicschools.com,WOBURN,Yes
"University of Michigan at Ann Arbor, Michigan",NDA,UNIVERSITY OF MICHIGAN AT ANN ARBOR,MICHIGAN,NCES_District-2600308,13943 EAST 8 MILE RD,WARREN,http://www.academyofwarren.net,ACADEMY OF WARREN,Yes
"Fairfax County Schools, Virginia",NDA,FAIRFAX COUNTY SCHOOLS,VIRGINIA,NCES_District-5101260,Gatehouse Adm Ctr,Falls Church,http://www.fcps.edu,FAIRFAX COUNTY PUBLIC SCHOOLS,Yes
"St. Tammany Parish Public Schools, Louisiana",NDA,ST. TAMMANY PARISH PUBLIC SCHOOLS,LOUISIANA,NCES_District-2201650,P.O. Box 940,Covington,,ST. TAMMANY PARISH,Yes
"Northern Virginia Community College, Virginia",NDA,NORTHERN VIRGINIA COMMUNITY COLLEGE,VIRGINIA,NCES_District-5100041,UVA Health System,Charlottesville,,UNIVERSITY OF VIRGINIA,Yes
"Seminole County Public Schools, Florida",NDA,SEMINOLE COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1201710,400 E LAKE MARY BLVD,SANFORD,http://www.scps.k12.fl.us/,SEMINOLE,Yes
"Fayette County Public Schools, Kentucky",NDA,FAYETTE COUNTY PUBLIC SCHOOLS,KENTUCKY,NCES_District-2101860,450 Park Place,Lexington,http://www.fcps.net/,FAYETTE COUNTY,Yes
"Lincoln Public School District, Nebraska",NDA,LINCOLN PUBLIC SCHOOL DISTRICT,NEBRASKA,NCES_District-3170050,101 N 4TH ST,ELGIN,,ELGIN PUBLIC SCHOOLS,Yes
"Los Fresnos Consolidated Independent School District, Texas",NDA,LOS FRESNOS CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800073,5025 S WILLOW DR,HOUSTON,http://www.varnett.org,THE VARNETT PUBLIC SCHOOL,Yes
"Granite School District, Utah",NDA,GRANITE SCHOOL DISTRICT,UTAH,NCES_District-4900360,2500 S STATE STREET,SALT LAKE CITY,http://www.graniteschools.org,GRANITE DISTRICT,Yes
"Woodland School District No. 50, Illinois",NDA,WOODLAND SCHOOL DISTRICT NO. 50,ILLINOIS,NCES_District-1718420,401 N Division St,Harvard,http://www.cusd50.org,HARVARD CUSD 50,Yes
"Town of Burlington, Massachusetts",NDA,TOWN OF BURLINGTON,MASSACHUSETTS,NCES_District-2503240,123 Cambridge Street,Burlington,http://www.burlingtonpublicschools.org,BURLINGTON,Yes
"City of Elk Grove, California",NDA,CITY OF ELK GROVE,CALIFORNIA,NCES_District-0601534,1575 W. 2nd St.,Los Angeles,http://laaae.org,LOS ANGELES ACADEMY OF ARTS AND ENTERPRISE DISTRICT,Yes
"Coronado Middle School, California",NDA,CORONADO MIDDLE SCHOOL,CALIFORNIA,NCES_District-0602069,1001 22nd Ave.,Oakland,http://www.aspirepublicschools.org,ASPIRE BENJAMIN HOLT MIDDLE DISTRICT,Yes
"Antioch Community Consolidated School District No. 34, Illinois",NDA,ANTIOCH COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 34,ILLINOIS,NCES_District-1701397,14040 E 1200th Rd,Paris,,PARIS COOPERATIVE HIGH SCHOOL,Yes
"Exeter Township School District, Pennsylvania",NDA,EXETER TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4209480,200 Elm St,Reading,http://www.exetersd.org,EXETER TOWNSHIP SD,Yes
"North Spencer County School District, Indiana",NDA,NORTH SPENCER COUNTY SCHOOL DISTRICT,INDIANA,NCES_District-1800215,4352 Mitthoeffer Rd,Indianapolis,,JAMES AND ROSEMARY PHALEN LEADERSHIP ACADEMY HIGH SCHOOL,Yes
"Crete-Monee School District No. 201-U, Illinois",NDA,CRETE-MONEE SCHOOL DISTRICT NO. 201-U,ILLINOIS,NCES_District-1705640,920 N Illinois St,Belleville,http://www.bths201.org,BELLEVILLE TWP HSD 201,Yes
"Cutler-Orosi Joint Unified School District, California",NDA,CUTLER-OROSI JOINT UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0610350,12623 Avenue 416,Orosi,http://www.cojusd.org,CUTLER-OROSI JOINT UNIFIED,Yes
"Metropolitan Nashville Public Schools, Tennessee",NDA,METROPOLITAN NASHVILLE PUBLIC SCHOOLS,TENNESSEE,NCES_District-4701650,10815 Old Hwy. 64,Bolivar,http://www.hcsedu.org,HARDEMAN COUNTY SCHOOLS,Yes
"Roswell Independent School District, New Mexico",NDA,ROSWELL INDEPENDENT SCHOOL DISTRICT,NEW MEXICO,NCES_District-3502250,300 N. KENTUCKY,ROSWELL,http://www.risd.k12.nm.us,ROSWELL,Yes
"Garden Grove Unified School District, California",NDA,GARDEN GROVE UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0614880,10331 Stanford Ave.,Garden Grove,http://www.ggusd.us,GARDEN GROVE UNIFIED,Yes
"Williamson County Schools, Tennessee",NDA,WILLIAMSON COUNTY SCHOOLS,TENNESSEE,NCES_District-4704530,1320 W Main,Franklin,http://www.wcs.edu,WILLIAMSON COUNTY,Yes
"Northridge Local School District (Dayton), Ohio",NDA,NORTHRIDGE LOCAL SCHOOL DISTRICT (DAYTON),OHIO,NCES_District-3904873,2008 Timber Ln,Dayton,http://www.northridgeschools.org,NORTHRIDGE LOCAL,Yes
"Downey Unified School District, California",NDA,DOWNEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0611460,PO Box 7017,Downey,http://www.dusd.net,DOWNEY UNIFIED,Yes
"Saddleback Valley Unified School District, California",NDA,SADDLEBACK VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0633860,25631 Peter A. Hartman Way,Mission Viejo,http://www.svusd.k12.ca.us,SADDLEBACK VALLEY UNIFIED,Yes
"El Paso Independent School District, Texas",NDA,EL PASO INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800291,P O BOX 40,HUNTSVILLE,http://www.wsdtx.org,WINDHAM SCHOOL DISTRICT,Yes
"Cedar Falls Community School District, Iowa",NDA,CEDAR FALLS COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1906510,1002 W 1st St,Cedar Falls,http://www.cfschools.org,CEDAR FALLS COMM SCHOOL DISTRICT,Yes
"Dublin Unified School District, California",NDA,DUBLIN UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0600019,7471 Larkdale Ave.,Dublin,http://www.dublinusd.org,DUBLIN UNIFIED,Yes
"Cajon Valley Union School District, California",NDA,CAJON VALLEY UNION SCHOOL DISTRICT,CALIFORNIA,NCES_District-0606810,PO Box 1007,El Cajon,http://www.cajonvalley.net,CAJON VALLEY UNION,Yes
"Detroit Public Schools, Michigan",NDA,DETROIT PUBLIC SCHOOLS,MICHIGAN,NCES_District-2601103,3011 W GRAND BLVD,DETROIT,http://www.detroitk12.org,DETROIT PUBLIC SCHOOLS COMMUNITY DISTRICT,Yes
"Department of Defense: Defense Logistics Agency, Virginia",NDA,DEPARTMENT OF DEFENSE: DEFENSE LOGISTICS AGENCY,VIRGINIA,NCES_District-5100041,UVA Health System,Charlottesville,,UNIVERSITY OF VIRGINIA,Yes
"School District of New Berlin, Wisconsin",NDA,SCHOOL DISTRICT OF NEW BERLIN,WISCONSIN,NCES_District-5510470,4333 S Sunnyslope Rd,New Berlin,http://www.nbexcellence.org,NEW BERLIN SCHOOL DISTRICT,Yes
"Albuquerque Public Schools, New Mexico",NDA,ALBUQUERQUE PUBLIC SCHOOLS,NEW MEXICO,NCES_District-3500060,PO BOX 25704,ALBUQUERQUE,http://www.aps.edu,ALBUQUERQUE,Yes
"Kenton County School District, Kentucky",NDA,KENTON COUNTY SCHOOL DISTRICT,KENTUCKY,NCES_District-2103090,1055 Eaton Dr,Fort Wright,http://www.kenton.kyschools.us,KENTON COUNTY,Yes
"Newark Public Schools, New Jersey",NDA,NEWARK PUBLIC SCHOOLS,NEW JERSEY,NCES_District-3405940,12 High Street,Glen Ridge,http://www.glenridge.org,GLEN RIDGE PUBLIC SCHOOL DISTRICT,Yes
"Revere Public Schools, Massachusetts",NDA,REVERE PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2510050,101 School Street,Revere,http://www.reverek12.org,REVERE,Yes
"Lower Moreland Township School District, Pennsylvania",NDA,LOWER MORELAND TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4214190,2551 Murray Ave,Huntingdon Valley,http://www.lmtsd.org,LOWER MORELAND TOWNSHIP SD,Yes
"Wake County Public School System, North Carolina",NDA,WAKE COUNTY PUBLIC SCHOOL SYSTEM,NORTH CAROLINA,NCES_District-3701680,PO Box 125,Gatesville,http://coserver.gates.k12.nc.us,GATES COUNTY SCHOOLS,Yes
"City of Revere, Massachusetts",NDA,CITY OF REVERE,MASSACHUSETTS,NCES_District-2510050,101 School Street,Revere,http://www.reverek12.org,REVERE,Yes
"Jefferson County Public Schools, Kentucky",NDA,JEFFERSON COUNTY PUBLIC SCHOOLS,KENTUCKY,NCES_District-2102990,3332 Newburg Rd,Louisville,http://www.jefferson.kyschools.us/,JEFFERSON COUNTY,Yes
"Spring Cove School District, Pennsylvania",NDA,SPRING COVE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4222530,1100 E Main Street,Roaring Spring,http://www.springcovesd.org,SPRING COVE SD,Yes
"Rockford School District No. 205, Illinois",NDA,ROCKFORD SCHOOL DISTRICT NO. 205,ILLINOIS,NCES_District-1716080,932 Harrison St,Galesburg,http://www.galesburg205.org,GALESBURG CUSD 205,Yes
"Allegheny Valley School District, Pennsylvania",NDA,ALLEGHENY VALLEY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4202190,300 Pearl Ave,Cheswick,http://www.avsdweb.org,ALLEGHENY VALLEY SD,Yes
"Deming Public School District, New Mexico",NDA,DEMING PUBLIC SCHOOL DISTRICT,NEW MEXICO,NCES_District-3500690,1001 S DIAMOND AVE.,DEMING,http://www.demingps.org,DEMING,Yes
"Warren County Career Center, Ohio",NDA,WARREN COUNTY CAREER CENTER,OHIO,NCES_District-3905171,518 W Prospect St,Smithville,http://www.wcscc.org,WAYNE COUNTY JVSD,Yes
"Moreland School District, California",NDA,MORELAND SCHOOL DISTRICT,CALIFORNIA,NCES_District-0625770,4711 Campbell Ave.,San Jose,http://www.moreland.org,MORELAND,Yes
"Lowndes County Schools, Georgia",NDA,LOWNDES COUNTY SCHOOLS,GEORGIA,NCES_District-1303390,Post Office Box 1227,Valdosta,,LOWNDES COUNTY,Yes
"Taylor Independent School District, Texas",NDA,TAYLOR INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800248,3732 MYRTLE ST,DALLAS,http://www.stanthonydallas.org,ST ANTHONY SCHOOL,Yes
"Carle Place Public Schools, New York",NDA,CARLE PLACE PUBLIC SCHOOLS,NEW YORK,NCES_District-3680969,316 E 165TH ST,BRONX,http://www.flacsnyc.com,FAMILY LIFE ACADEMY CHARTER SCHOOLS HIGH SCHOOL,Yes
"Tuscarora Intermediate Unit 11, Pennsylvania",NDA,TUSCARORA INTERMEDIATE UNIT 11,PENNSYLVANIA,NCES_District-4289110,One Intermediate Unit Drive,Coal Center,http://www.iu1.org,INTERMEDIATE UNIT 1,Yes
"Calexico Unified School District, California",NDA,CALEXICO UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0606900,901 Andrade Ave.,Calexico,http://www2.cusdk12.org,CALEXICO UNIFIED,Yes
"Avon Grove School District, Pennsylvania",NDA,AVON GROVE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280520,210 Campus Lane,Butler,http://www.butlertec.us,BUTLER COUNTY AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"Corpus Christi Independent School District, Texas",NDA,CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800259,8305 CROSS PARK DR,AUSTIN,http://www.trinitycharterschools.org,TRINITY CHARTER SCHOOL,Yes
"Blue Springs R-IV School District, Missouri",NDA,BLUE SPRINGS R-IV SCHOOL DISTRICT,MISSOURI,NCES_District-2905310,1801 NW VESPER,BLUE SPRINGS,http://WWW.BSSD.NET,BLUE SPRINGS R-IV,Yes
"Red Bluff Joint Union High School District, California",NDA,RED BLUFF JOINT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0632010,PO Box 1507,Red Bluff,http://www.tcde.tehama.k12.ca.us/redbluffjuhsd.html,RED BLUFF JOINT UNION HIGH,Yes
"Newman-Crows Landing Unified School District, California",NDA,NEWMAN-CROWS LANDING UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0627200,1223 Main St.,Newman,http://www.nclusd.k12.ca.us,NEWMAN-CROWS LANDING UNIFIED,Yes
"Douglas County School System, Georgia",NDA,DOUGLAS COUNTY SCHOOL SYSTEM,GEORGIA,NCES_District-1301860,9030 Highway 5,Douglasville,,DOUGLAS COUNTY,Yes
"Great Neck Public Schools, New York",NDA,GREAT NECK PUBLIC SCHOOLS,NEW YORK,NCES_District-3601139,120 WADSWORTH AVE,NEW YORK,http://www.schoolinthesquare.org,SCHOOL IN THE SQUARE PUBLIC CHARTER SCHOOL,Yes
"Pittsburgh Public Schools, Pennsylvania",NDA,PITTSBURGH PUBLIC SCHOOLS,PENNSYLVANIA,NCES_District-4200754,515 N. Highland Avenue,Pittsburgh,http://www.pps.k12.pa.us/14311047133448663/site/default.asp,PITTSBURGH AVTS,Yes
"Greene County Career Center, Ohio",NDA,GREENE COUNTY CAREER CENTER,OHIO,NCES_District-3905120,150 Price Rd,Newark,,CAREER AND TECHNOLOGY EDUCATIONAL CENTERS,Yes
"Tevis Junior High School, California",NDA,TEVIS JUNIOR HIGH SCHOOL,CALIFORNIA,NCES_District-0601902,5440 Valley Cir. Blvd.,Woodland Hills,http://ecrchs.net,EL CAMINO REAL CHARTER HIGH DISTRICT,Yes
"Hillsboro School District, Oregon",NDA,HILLSBORO SCHOOL DISTRICT,OREGON,NCES_District-4100023,3083 NE 49th Pl,Hillsboro,http://www.hsd.k12.or.us,HILLSBORO SD 1J,Yes
"Southwestern Jefferson County Schools, Indiana",NDA,SOUTHWESTERN JEFFERSON COUNTY SCHOOLS,INDIANA,NCES_District-1812420,PO Box 288,Warsaw,http://www.warsaw.k12.in.us,WARSAW COMMUNITY SCHOOLS,Yes
"Maury County Public Schools, Tennessee",NDA,MAURY COUNTY PUBLIC SCHOOLS,TENNESSEE,NCES_District-4702760,501 West 8th ST,Columbia,http://www.mauryk12.org/,MAURY COUNTY,Yes
"Belmont School District, Massachusetts",NDA,BELMONT SCHOOL DISTRICT,MASSACHUSETTS,NCES_District-2502490,644 Pleasant Street,Belmont,http://www.belmont.k12.ma.us,BELMONT,Yes
"Town of Weymouth, Massachusetts",NDA,TOWN OF WEYMOUTH,MASSACHUSETTS,NCES_District-2512840,111 Middle Street,Weymouth,http://www.weymouthschools.org/,WEYMOUTH,Yes
"Lexington-Richland School District Five, South Carolina",NDA,LEXINGTON-RICHLAND SCHOOL DISTRICT FIVE,SOUTH CAROLINA,NCES_District-4502700,P.O. Box 1869,Lexington,http://www.lexdistrict1.com/,LEXINGTON 01,Yes
"Lamar Bruni Vergara Middle School, Texas",NDA,LAMAR BRUNI VERGARA MIDDLE SCHOOL,TEXAS,NCES_District-4800248,3732 MYRTLE ST,DALLAS,http://www.stanthonydallas.org,ST ANTHONY SCHOOL,Yes
"Northbrook-Glenview School District No. 30, Illinois",NDA,NORTHBROOK-GLENVIEW SCHOOL DISTRICT NO. 30,ILLINOIS,NCES_District-1725770,101 W Madison St,Metamora,http://www.mths.us,COUNTY OF WOODFORD SCHOOL,Yes
"Holyoke Public Schools, Massachusetts",NDA,HOLYOKE PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2506270,57 Suffolk Street,Holyoke,http://www.hps.holyoke.ma.us/,HOLYOKE,Yes
"Barbers Hill Independent School District, Texas",NDA,BARBERS HILL INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"San Francisco Municipal Transportation Agency, California",NDA,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,CALIFORNIA,NCES_District-0635130,699 Old Orchard Dr.,Danville,http://www.srvusd.net,SAN RAMON VALLEY UNIFIED,Yes
"Las Cruces Public Schools, New Mexico",NDA,LAS CRUCES PUBLIC SCHOOLS,NEW MEXICO,NCES_District-3501500,505 SOUTH MAIN SUITE 249,LAS CRUCES,http://www.lcps.net/,LAS CRUCES,Yes
"Rogers Public Schools, Arkansas",NDA,ROGERS PUBLIC SCHOOLS,ARKANSAS,NCES_District-0500408,1621 Dr. Martin Luther King Dr,Little Rock,http://premierhighschools.com/littlerock/,PREMIER HIGH SCHOOLS OF ARKANSAS,Yes
"Hacienda La Puente Unified School District, California",NDA,HACIENDA LA PUENTE UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0616325,15959 East Gale Ave.,City Of Industry,http://www.hlpschools.org,HACIENDA LA PUENTE UNIFIED,Yes
"Springfield Public Schools, Missouri",NDA,SPRINGFIELD PUBLIC SCHOOLS,MISSOURI,NCES_District-2918690,9350 Sappington Road,St. Louis,http://WWW.LINDBERGHSCHOOLS.WS,LINDBERGH SCHOOLS,Yes
"City of Malden, Massachusetts",NDA,CITY OF MALDEN,MASSACHUSETTS,NCES_District-2507170,110 Pleasant St,Malden,http://www.maldenps.org/,MALDEN,Yes
"South Fayette Township School District, Pennsylvania",NDA,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4220580,3680 Old Oakdale Rd,McDonald,http://www.southfayette.org,SOUTH FAYETTE TOWNSHIP SD,Yes
"Toledo City School District, Ohio",NDA,TOLEDO CITY SCHOOL DISTRICT,OHIO,NCES_District-3904490,1609 N Summit St,Toledo,http://www.tps.org/,TOLEDO CITY,Yes
"Quaker Valley School District, Pennsylvania",NDA,QUAKER VALLEY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4219860,100 Leetsdale Industrial Drive,Leetsdale,http://www.qvsd.org,QUAKER VALLEY SD,Yes
"Laurel Ridge Community College, Virginia",NDA,LAUREL RIDGE COMMUNITY COLLEGE,VIRGINIA,NCES_District-5100082,C/O Southeastern Alt School,Midland,,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,Yes
"City of Stamford, Connecticut",NDA,CITY OF STAMFORD,CONNECTICUT,NCES_District-0900001,460 Capitol Avenue,Hartford,,OFFICE OF EARLY CHILDHOOD (OEC),Yes
"Lakota Local School District, Ohio",NDA,LAKOTA LOCAL SCHOOL DISTRICT,OHIO,NCES_District-3904956,5200 County Road 13,Kansas,http://www.lakotaschools.org,LAKOTA LOCAL,Yes
"Brandywine Heights Area School District, Pennsylvania",NDA,BRANDYWINE HEIGHTS AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4204050,200 W Weis St,Topton,http://www.bhasd.org,BRANDYWINE HEIGHTS AREA SD,Yes
"Parsippany-Troy Hills School District, New Jersey",NDA,PARSIPPANY-TROY HILLS SCHOOL DISTRICT,NEW JERSEY,NCES_District-3412480,292 Parsippany Road,Parsippany,http://www.pthsd.k12.nj.us,PARSIPPANY-TROY HILLS TOWNSHIP SCHOOL DISTRICT,Yes
"Los Obispos Middle School, Texas",NDA,LOS OBISPOS MIDDLE SCHOOL,TEXAS,NCES_District-4800221,3380 FANIN ST,BEAUMONT,http://www.ehrhartschool.org,EHRHART SCHOOL,Yes
"Katy Independent School District, Texas",NDA,KATY INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801412,501 W CESAR E CHAVEZ BLVD,SAN ANTONIO,http://www.thealamedaschool.org,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Yes
"Bristol-Warren Regional School District, Rhode Island",NDA,BRISTOL-WARREN REGIONAL SCHOOL DISTRICT,RHODE ISLAND,NCES_District-4400065,235 High Street,Bristol,,BRISTOL WARREN,Yes
"Department of Homeland Security - GSA, District of Columbia",NDA,DEPARTMENT OF HOMELAND SECURITY - GSA,DISTRICT OF COLUMBIA,NCES_District-1100088,6015 CHILLUM PLACE NE,Washington,http://www.selapcs.org,SELA PCS,Yes
"Alamogordo Public Schools, New Mexico",NDA,ALAMOGORDO PUBLIC SCHOOLS,NEW MEXICO,NCES_District-3500030,PO BOX 650,ALAMOGORDO,http://www.aps4kids.org,ALAMOGORDO,Yes
